date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:57	95250/95250	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2006:10:44%20GMT	https://cdn.bolvo.com/eltron/?storefront=envato-elements	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/index04b9.html	(from )
14:42:57	154/154	---MCZ	200	added ('OK')	text/plain	date:Mon,%2030%20Dec%202024%2016:51:10%20GMT	https://cdn.bolvo.com/robots.txt		(from )
14:42:57	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Mar%202026%2005:42:58%20GMT	https://cdn.bolvo.com/eltron/assets/img/logo/ficon.png	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/img/logo/ficon.png	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:57	3596/3596	---MCZ	200	added ('OK')	text/css	etag:%22675fce39-e0c%22	https://cdn.bolvo.com/eltron/assets/css/owl.carousel.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/owl.carousel.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:58	46063/46063	---MCZ	200	added ('OK')	text/css	etag:%22677fb3bd-b3ef%22	https://cdn.bolvo.com/eltron/assets/css/fontawesome-all.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/fontawesome-all.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:58	12958/12958	---MCZ	200	added ('OK')	text/css	etag:%22675fce39-329e%22	https://cdn.bolvo.com/eltron/assets/css/simple-line-icons.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/simple-line-icons.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:58	79361/79361	---MCZ	200	added ('OK')	text/css	etag:%22677f9b92-13601%22	https://cdn.bolvo.com/eltron/assets/css/animate.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/animate.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:59	880/880	---MCZ	200	added ('OK')	text/css	etag:%22677fb3c0-370%22	https://cdn.bolvo.com/eltron/assets/css/flaticon.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/flaticon.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:59	144877/144877	---MCZ	200	added ('OK')	text/css	etag:%22677fb3c0-235ed%22	https://cdn.bolvo.com/eltron/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/bootstrap.min.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
14:42:59	13671/13671	---MCZ	200	added ('OK')	text/css	etag:%22677fb3bd-3567%22	https://cdn.bolvo.com/eltron/assets/css/video.min.css	C:/My%20Web%20Sites/smart%20link%20website%20temp1/cdn.bolvo.com/eltron/assets/css/video.min.css	(from https://cdn.bolvo.com/eltron/?storefront=envato-elements)
